EQUIPE;ADVERSÁRIO;DATA;RODADA;HORÁRIO;COMPETIÇÃO;RESULTADO;MANDO;MINUTO;AUTOR DO GOL;POSIÇÃO DO AUTOR;EXECUÇÃO DA FINALIZAÇÃO;ZONA DA FINALIZAÇÃO;ASSISTENTE;POSIÇÃO DO ASSISTENTE;ZONA DA ASSISTÊNCIA ;TERÇO DA ASSISTÊNCIA;TIPO DE PASSE/AÇÃO DA ASSISTÊNCIA;ORIGEM DA JOGADA;FORMA DA FINALIZAÇÃO;OBSERVAÇÃO
GUARANI DIVINÓPOLIS 2025;IPATINGA;10/05/2025;2;16:00;MÓDULO ll;0x2;fora;85:00:00;Cauã;CA;PÉ DIREITO;Dentro da área - Centro;Michel Borges;MEI;Meio-espaço direito;3 - Último terço;Passe curto;Subindo pressão;Após drible;
GUARANI DIVINÓPOLIS 2025;VALERIODOCE;14/05/2025;3;19:30;MÓDULO ll;1X2;casa;26:00:00;Pedrinho;CA;PÉ DIREITO;Dentro da área - Direita;Luiz Felipe;VOL;Meio-espaço direito;2 - Segundo terço;Passe em profundidade;Ataque posicional;De primeira;
GUARANI DIVINÓPOLIS 2025;DEMOCRATA-SL;19/05/2025;4;19:30;MÓDULO ll;1x1;fora;15:00:00;Pedrinho;CA;PÉ DIREITO;Dentro da área - Centro;Everton;GL;Corredor central;1 - Primeiro terço;Passe em profundidade;Transição ofensiva;De primeira;
GUARANI DIVINÓPOLIS 2025;NACIONAL DE MURIAÉ;25/05/2025;5;16:30;MÓDULO ll;2x0;casa;42:00:00;Pedrinho;CA;PÉ DIREITO;Pequena área - Esquerda;Maycon Rangel;EXT E;Meio-espaço esquerdo;2 - Segundo terço;Passe em profundidade;Transição ofensiva;Após domínio;
GUARANI DIVINÓPOLIS 2025;NACIONAL DE MURIAÉ;25/05/2025;5;16:30;MÓDULO ll;2x0;casa;61:00:00;Pedrinho;CA;PÉ DIREITO;Pequena área - Centro;N/A;N/A;N/A;N/A;N/A;Subindo pressão;De primeira;
GUARANI DIVINÓPOLIS 2025;VALERIODOCE;28/05/2025;6;20:00;MÓDULO ll;1X1;fora;24:00:00;Luiz Felipe;VOL;PÉ DIREITO;Dentro da área - Centro;Cauã;CA;Dentro da área - Direita;3 - Último terço;Cruzamento;Transição ofensiva;De primeira;
GUARANI DIVINÓPOLIS 2025;NACIONAL DE MURIAÉ;31/05/2025;7;15:30;MÓDULO ll;1x2;fora;62:00:00;Pedrinho;CA;PÉ DIREITO;Pequena área - Esquerda;Kauê;VOL;N/A;N/A;Casquinha;Bola parada;Após domínio;
GUARANI DIVINÓPOLIS 2025;IPATINGA;16/06/2025;9;19:30;MÓDULO ll;1x0;casa;63:00:00;Maycon Rangel;CA;PÉ ESQUERDO;Dentro da área - Direita;Michel Borges;MEI;Dentro da área - Direita;3 - Último terço;Passe curto;Ataque posicional;De primeira;
GUARANI DIVINÓPOLIS 2025;NORTH;21/06/2025;10;16:00;MÓDULO ll;2x1;fora;70:00:00;Everson Caveira;CA;PÉ DIREITO;Dentro da área - Centro;Maycon Rangel;EXT D;Dentro da área - Direita;3 - Último terço;Passe curto;Ataque posicional;De primeira;
QFC 2026;AMÉRICA;26/06/2026;RODADA 11;16:00;POTIGUAR ;1X0;casa;70:00:00;Everson Caveira;CA;PÉ DIREITO;Dentro da área - Centro;Maycon Rangel;VOL;Dentro da área - Direita;3 - Último terço;Passe curto;Ataque posicional;De primeira;
